filename,width,height,class,xmin,ymin,xmax,ymax
0027.jpg,225,225,tomato,207,1,225,25
0027.jpg,225,225,tomato,86,1,147,55
0027.jpg,225,225,tomato,96,55,152,113
0027.jpg,225,225,tomato,146,73,192,127
0027.jpg,225,225,tomato,171,112,222,166
0027.jpg,225,225,tomato,129,152,185,199
0027.jpg,225,225,tomato,129,183,169,217
0027.jpg,225,225,tomato,108,112,159,162
0027.jpg,225,225,tomato,75,109,110,146
0027.jpg,225,225,tomato,49,121,78,154
0027.jpg,225,225,tomato,79,150,115,184
0027.jpg,225,225,tomato,19,148,67,194
0027.jpg,225,225,tomato,53,180,103,224
0027.jpg,225,225,tomato,96,166,132,218
0027.jpg,225,225,tomato,37,190,58,216
0074.jpg,640,480,tomato,138,131,271,257
0074.jpg,640,480,tomato,195,201,341,327
0074.jpg,640,480,tomato,331,186,447,291
0082.jpg,259,194,tomato,10,31,118,138
0082.jpg,259,194,tomato,50,108,118,184
0082.jpg,259,194,tomato,98,67,206,173
0082.jpg,259,194,tomato,117,12,240,116
0044.jpg,838,471,tomato,24,103,153,212
0044.jpg,838,471,tomato,83,57,184,197
0044.jpg,838,471,tomato,34,202,191,311
0044.jpg,838,471,tomato,62,247,281,441
0044.jpg,838,471,tomato,181,194,281,260
0044.jpg,838,471,tomato,280,242,452,414
0044.jpg,838,471,tomato,419,169,531,302
0044.jpg,838,471,tomato,496,76,620,162
0044.jpg,838,471,tomato,480,292,587,367
0044.jpg,838,471,tomato,515,382,602,450
0085.jpg,259,194,tomato,80,119,150,181
0085.jpg,259,194,tomato,134,79,206,150
0085.jpg,259,194,tomato,64,59,136,120
0085.jpg,259,194,tomato,120,35,185,87
0085.jpg,259,194,tomato,1,40,66,108
0085.jpg,259,194,tomato,55,48,98,71
0085.jpg,259,194,tomato,1,22,43,56
0085.jpg,259,194,tomato,43,9,84,39
0100.jpg,720,720,tomato,131,115,343,331
0100.jpg,720,720,tomato,135,327,341,520
0100.jpg,720,720,tomato,197,474,398,664
0100.jpg,720,720,tomato,319,578,455,670
0100.jpg,720,720,tomato,372,393,564,595
0100.jpg,720,720,tomato,311,241,524,439
0100.jpg,720,720,tomato,337,35,555,245
0038.jpg,480,640,tomato,218,336,391,510
0038.jpg,480,640,tomato,106,363,268,530
0038.jpg,480,640,tomato,39,245,198,399
0038.jpg,480,640,tomato,198,262,328,364
0038.jpg,480,640,tomato,153,182,270,301
0038.jpg,480,640,tomato,149,45,277,190
0064.jpg,600,312,tomato,262,52,346,134
0064.jpg,600,312,tomato,275,135,356,218
0064.jpg,600,312,tomato,274,227,355,306
0064.jpg,600,312,tomato,188,209,279,290
0064.jpg,600,312,tomato,171,116,263,208
0064.jpg,600,312,tomato,144,143,211,234
0079.jpg,266,189,tomato,26,17,108,88
0079.jpg,266,189,tomato,111,39,195,109
0079.jpg,266,189,tomato,115,105,197,178
0079.jpg,266,189,tomato,47,83,126,156
0026.jpg,225,225,tomato,108,1,147,33
0026.jpg,225,225,tomato,95,1,123,14
0026.jpg,225,225,tomato,93,14,121,41
0026.jpg,225,225,tomato,130,28,175,65
0026.jpg,225,225,tomato,80,45,130,90
0026.jpg,225,225,tomato,128,66,172,106
0026.jpg,225,225,tomato,131,104,173,148
0026.jpg,225,225,tomato,94,86,135,122
0026.jpg,225,225,tomato,91,119,136,161
0026.jpg,225,225,tomato,98,142,141,170
0026.jpg,225,225,tomato,54,138,100,178
0026.jpg,225,225,tomato,77,168,123,208
0026.jpg,225,225,tomato,38,175,83,219
0026.jpg,225,225,tomato,74,205,110,225
0081.jpg,259,194,tomato,22,100,92,168
0081.jpg,259,194,tomato,62,29,148,108
0081.jpg,259,194,tomato,142,64,216,138
0081.jpg,259,194,tomato,91,106,170,177
0084.jpg,286,176,tomato,23,39,68,83
0084.jpg,286,176,tomato,70,26,116,73
0084.jpg,286,176,tomato,110,46,156,84
0084.jpg,286,176,tomato,115,65,160,114
0084.jpg,286,176,tomato,157,85,202,133
0084.jpg,286,176,tomato,159,123,212,167
0084.jpg,286,176,tomato,196,90,230,131
0084.jpg,286,176,tomato,155,56,198,92
0094.jpg,360,360,tomato,109,180,250,323
0094.jpg,360,360,tomato,208,104,339,220
0094.jpg,360,360,tomato,116,78,229,189
0094.jpg,360,360,tomato,29,148,145,265
0033.jpg,395,487,tomato,1,100,75,179
0033.jpg,395,487,tomato,21,166,107,243
0033.jpg,395,487,tomato,54,252,130,329
0033.jpg,395,487,tomato,105,343,177,412
0033.jpg,395,487,tomato,140,407,199,469
0033.jpg,395,487,tomato,199,423,258,483
0033.jpg,395,487,tomato,218,354,284,419
0033.jpg,395,487,tomato,174,282,252,358
0033.jpg,395,487,tomato,133,153,219,239
0033.jpg,395,487,tomato,95,61,182,142
0033.jpg,395,487,tomato,164,37,236,116
0033.jpg,395,487,tomato,300,72,375,149
0033.jpg,395,487,tomato,304,172,376,248
0033.jpg,395,487,tomato,308,261,380,335
0033.jpg,395,487,tomato,313,345,375,410
0033.jpg,395,487,tomato,276,470,328,487
